invoice_id,po_id,invoice_date,invoice_amount,payment_status
1,1,2023-03-14,68097.07317270269,Paid
2,2,2024-06-13,99561.57,Unpaid
3,3,2023-04-17,68910.67005830821,Paid
4,4,2023-09-20,140336.25,Unpaid
5,5,2024-07-27,190224.86,Paid
6,6,2023-03-26,134924.38,Paid
7,7,2023-09-10,124136.98648495134,Unpaid
8,8,2024-11-08,105846.31,Paid
9,9,2023-10-27,189672.61142553503,Paid
10,10,2024-03-16,108707.31,Unpaid
11,11,2023-07-23,81807.87,Unpaid
12,12,2024-08-26,75804.48,Unpaid
13,13,2024-11-28,123896.66,Paid
14,14,2024-05-13,79675.76155646038,Unpaid
15,15,2023-02-03,59368.99891316758,Unpaid
16,16,2023-02-03,191796.62,Unpaid
17,17,2023-12-22,121159.14457071878,Unpaid
18,18,2023-07-28,90597.9,Unpaid
19,19,2023-06-07,67717.65,Unpaid
20,20,2024-06-24,149776.17423066267,Paid
21,21,2023-09-20,166960.19,Paid
22,22,2023-03-22,80090.9,Unpaid
23,23,2024-05-02,104756.33,Unpaid
24,24,2023-03-01,169671.01,Paid
25,25,2023-05-24,57560.05563758002,Unpaid
26,26,2024-01-02,136832.04,Paid
27,27,2024-07-01,63267.194592155734,Paid
28,28,2024-07-25,105527.07,Paid
29,29,2024-03-15,122969.15,Unpaid
30,30,2024-07-14,109687.21,Paid
31,31,2024-05-19,189841.74,Unpaid
32,32,2023-06-28,109670.98,Unpaid
33,33,2023-07-06,122350.0,Unpaid
34,34,2023-03-02,72452.92749296439,Unpaid
35,35,2023-02-15,160094.10432925037,Paid
36,36,2024-04-23,160173.26,Paid
37,37,2024-08-18,77971.99,Unpaid
38,38,2023-09-01,99839.98,Unpaid
39,39,2024-04-07,199322.05,Unpaid
40,40,2024-10-06,110694.36,Unpaid
41,41,2023-07-03,54897.947367474226,Paid
42,42,2023-07-21,127480.72,Paid
43,43,2024-06-21,87641.4491754728,Unpaid
44,44,2023-01-17,116455.03,Paid
45,45,2024-07-25,93416.93,Paid
46,46,2023-10-21,113489.05,Unpaid
47,47,2023-07-30,52832.22,Unpaid
48,48,2024-10-07,167662.66,Paid
49,49,2023-07-19,62125.06,Unpaid
50,50,2024-12-10,199334.96,Unpaid
51,51,2023-05-06,58541.37,Paid
52,52,2023-11-15,149621.36,Paid
53,53,2023-02-22,158360.18,Unpaid
54,54,2024-08-11,135755.26,Unpaid
55,55,2023-11-10,86359.38,Unpaid
56,56,2023-05-06,55092.47,Unpaid
57,57,2023-06-11,109195.19,Unpaid
58,58,2024-06-15,81024.06,Unpaid
59,59,2023-02-16,135174.55,Paid
60,60,2024-03-04,194762.52,Unpaid
61,61,2023-12-29,138661.59861560044,Unpaid
62,62,2023-05-03,100801.82286092025,Paid
63,63,2023-08-23,112577.98,Unpaid
64,64,2023-11-12,131451.92,Paid
65,65,2023-01-06,120550.19,Unpaid
66,66,2023-07-27,159918.77,Unpaid
67,67,2024-12-11,78060.58834916785,Unpaid
68,68,2024-09-12,183720.47,Unpaid
69,69,2023-04-12,173875.5,Unpaid
70,70,2023-01-27,147153.74,Paid
71,71,2023-12-30,58236.24,Unpaid
72,72,2024-07-25,115294.7499864803,Paid
73,73,2024-03-28,198165.0686909522,Paid
74,74,2024-04-16,66094.47,Unpaid
75,75,2023-07-16,141984.74,Paid
76,76,2023-04-16,120908.90717338616,Paid
77,77,2023-08-02,62989.01229962672,Unpaid
78,78,2023-03-12,120978.88,Unpaid
79,79,2023-10-20,84872.17,Paid
80,80,2024-01-12,111128.6,Paid
81,81,2023-12-20,54390.88,Unpaid
82,82,2024-07-04,189678.2,Unpaid
83,83,2023-10-06,80402.34,Paid
84,84,2024-11-25,58910.44,Unpaid
85,85,2024-06-01,130606.1,Paid
86,86,2024-06-27,67703.72,Paid
87,87,2023-05-06,120319.75,Paid
88,88,2023-09-11,98598.67,Paid
89,89,2023-07-18,183900.16,Paid
90,90,2024-02-17,75969.03,Unpaid
91,91,2023-08-07,75308.44,Unpaid
92,92,2024-08-09,140980.25,Unpaid
93,93,2023-06-13,113201.87,Unpaid
94,94,2023-12-13,130765.56,Unpaid
95,95,2023-05-24,176645.94,Paid
96,96,2023-11-24,77211.97,Unpaid
97,97,2023-04-19,62874.13,Unpaid
98,98,2024-12-15,99966.97,Paid
99,99,2023-10-26,156716.67,Unpaid
100,100,2024-04-14,179520.32,Paid
101,101,2023-12-11,112910.43,Unpaid
102,102,2023-05-15,173571.58,Paid
103,103,2024-10-07,158978.98,Unpaid
104,104,2024-01-04,63300.69,Paid
105,105,2023-10-22,184298.56,Paid
106,106,2024-09-18,62243.28375299527,Paid
107,107,2024-01-26,68613.75,Paid
108,108,2023-11-27,145273.44,Paid
109,109,2023-10-31,164971.86,Unpaid
110,110,2024-01-28,137185.67,Unpaid
111,111,2023-07-18,113561.56269650636,Paid
112,112,2023-06-04,97919.01,Paid
113,113,2023-02-09,110467.91,Unpaid
114,114,2024-07-26,166451.74,Paid
115,115,2024-04-14,151640.37,Unpaid
116,116,2024-04-18,167836.95,Unpaid
117,117,2023-11-08,64564.56,Unpaid
118,118,2024-08-16,148135.52867371865,Unpaid
119,119,2023-04-11,75342.58,Paid
120,120,2023-08-18,156578.09,Unpaid
121,121,2024-10-14,55398.84,Unpaid
122,122,2024-06-06,196727.59,Unpaid
123,123,2024-04-10,59678.66,Unpaid
124,124,2024-05-04,124146.28239957198,Paid
125,125,2024-01-04,148359.07,Unpaid
126,126,2023-11-26,67221.69,Paid
127,127,2024-11-30,189343.02679482644,Unpaid
128,128,2023-10-18,157662.86,Paid
129,129,2024-07-15,62166.49,Unpaid
130,130,2023-08-23,156229.08,Paid
131,131,2023-11-06,197045.86,Unpaid
132,132,2024-03-26,87104.26,Unpaid
133,133,2023-08-19,149165.45,Unpaid
134,134,2023-06-29,87632.15,Paid
135,135,2023-03-05,81255.02,Unpaid
136,136,2024-10-07,76392.77,Unpaid
137,137,2023-09-14,193430.85,Paid
138,138,2024-01-17,103719.34,Unpaid
139,139,2024-02-06,136666.97,Paid
140,140,2024-04-07,67420.99,Unpaid
141,141,2023-11-23,122541.43,Paid
142,142,2023-06-24,87046.0,Unpaid
143,143,2023-12-28,197377.90563478632,Paid
144,144,2024-08-01,83717.39168415607,Unpaid
145,145,2023-07-29,191255.50322588155,Paid
146,146,2023-05-14,78666.25,Unpaid
147,147,2023-08-10,187427.42,Paid
148,148,2023-03-17,149843.6,Unpaid
149,149,2024-05-12,176735.28,Paid
150,150,2023-07-07,125109.24,Paid
151,151,2023-07-10,57225.09,Paid
152,152,2023-03-02,187083.3092402177,Unpaid
153,153,2024-03-27,160827.42660833668,Unpaid
154,154,2023-03-25,198106.70937423874,Unpaid
155,155,2024-01-03,192101.72,Paid
156,156,2023-12-21,85192.0,Unpaid
157,157,2024-01-30,177704.07,Unpaid
158,158,2023-01-23,67460.21378572761,Paid
159,159,2024-12-02,94884.37774925624,Paid
160,160,2024-06-09,164064.55,Unpaid
161,161,2023-07-30,50609.0851261207,Paid
162,162,2023-04-18,187034.48,Unpaid
163,163,2024-11-13,92092.65044787947,Paid
164,164,2024-05-02,129420.8,Paid
165,165,2023-10-04,118157.03,Unpaid
166,166,2024-11-21,123543.23,Unpaid
167,167,2024-09-06,61095.15,Unpaid
168,168,2024-03-15,176131.89,Paid
169,169,2023-05-05,150978.36,Unpaid
170,170,2023-06-09,160910.82728559664,Unpaid
171,171,2023-08-19,123148.9,Paid
172,172,2023-12-10,83206.72,Paid
173,173,2023-12-19,118065.67,Unpaid
174,174,2023-04-30,51463.99,Unpaid
175,175,2023-01-15,181332.48,Unpaid
176,176,2023-10-21,142708.96,Unpaid
177,177,2024-05-03,135599.88,Unpaid
178,178,2023-11-19,95444.32,Unpaid
179,179,2023-10-16,199180.62,Paid
180,180,2024-02-02,66322.65,Paid
181,181,2023-08-22,186326.79,Paid
182,182,2023-05-26,135857.52,Unpaid
183,183,2024-07-25,50383.74,Unpaid
184,184,2024-02-04,133198.42,Paid
185,185,2024-06-24,82396.59501315074,Paid
186,186,2023-08-22,83363.77,Unpaid
187,187,2023-08-03,58555.04,Unpaid
188,188,2023-10-02,97682.65,Unpaid
189,189,2023-06-27,60554.89,Unpaid
190,190,2023-09-02,178097.73,Paid
191,191,2023-06-22,94689.59222632591,Paid
