po_id,supplier_id,order_date,expected_delivery,total_amount,status
1,6,2023-03-09,2023-03-23,72915.36,Completed
2,7,2024-06-08,2024-06-22,99561.57,Pending
3,17,2023-04-12,2023-04-24,73393.05,Completed
4,17,2023-09-15,2023-09-28,140336.25,Completed
5,18,2024-07-22,2024-07-31,190224.86,Pending
6,8,2023-03-21,2023-04-03,134924.38,Delayed
7,12,2023-09-05,2023-09-11,121594.25,Delayed
8,8,2024-11-03,2024-11-18,105846.31,Pending
9,14,2023-10-22,2023-11-01,186285.39,Pending
10,20,2024-03-11,2024-03-18,108707.31,Completed
11,10,2023-07-18,2023-07-27,81807.87,Pending
12,3,2024-08-21,2024-09-01,75804.48,Pending
13,8,2024-11-23,2024-12-02,123896.66,Delayed
14,9,2024-05-08,2024-05-20,79705.7,Pending
15,11,2023-01-29,2023-02-07,59015.08,Delayed
16,8,2023-01-29,2023-02-09,191796.62,Completed
17,13,2023-12-17,2023-12-22,126046.75,Delayed
18,8,2023-07-23,2023-08-05,90597.9,Delayed
19,1,2023-06-02,2023-06-12,67717.65,Completed
20,18,2024-06-19,2024-07-04,154244.94,Pending
21,7,2023-09-15,2023-09-24,166960.19,Pending
22,10,2023-03-17,2023-03-28,80090.9,Delayed
23,11,2024-04-27,2024-05-04,104756.33,Delayed
24,17,2023-02-24,2023-03-11,169671.01,Completed
25,3,2023-05-19,2023-06-02,53216.63,Completed
26,14,2023-12-28,2024-01-06,136832.04,Pending
27,20,2024-06-26,2024-07-02,58380.21,Delayed
28,7,2024-07-20,2024-07-29,105527.07,Delayed
29,7,2024-03-10,2024-03-15,122969.15,Delayed
30,14,2024-07-09,2024-07-23,109687.21,Pending
31,9,2024-05-14,2024-05-23,189841.74,Delayed
32,5,2023-06-23,2023-07-05,109670.98,Delayed
33,7,2023-07-01,2023-07-11,122350.0,Pending
34,4,2023-02-25,2023-03-09,76050.34,Delayed
35,6,2023-02-10,2023-02-17,164179.2,Delayed
36,2,2024-04-18,2024-05-02,160173.26,Completed
37,8,2024-08-13,2024-08-22,77971.99,Pending
38,2,2023-08-27,2023-09-08,99839.98,Pending
39,1,2024-04-02,2024-04-13,199322.05,Pending
40,17,2024-10-01,2024-10-14,110694.36,Delayed
41,9,2023-06-28,2023-07-09,59489.33,Completed
42,20,2023-07-16,2023-07-31,127480.72,Completed
43,6,2024-06-16,2024-07-01,88925.83,Delayed
44,20,2023-01-12,2023-01-26,116455.03,Delayed
45,16,2024-07-20,2024-08-01,93416.93,Delayed
46,8,2023-10-16,2023-10-31,113489.05,Pending
47,2,2023-07-25,2023-08-07,52832.22,Delayed
48,18,2024-10-02,2024-10-17,167662.66,Delayed
49,11,2023-07-14,2023-07-24,62125.06,Pending
50,8,2024-12-05,2024-12-17,199334.96,Delayed
51,17,2023-05-01,2023-05-11,58541.37,Completed
52,4,2023-11-10,2023-11-20,149621.36,Completed
53,6,2023-02-17,2023-02-24,158360.18,Delayed
54,7,2024-08-06,2024-08-20,135755.26,Completed
55,8,2023-11-05,2023-11-10,86359.38,Completed
56,3,2023-05-01,2023-05-15,55092.47,Delayed
57,5,2023-06-06,2023-06-12,109195.19,Pending
58,11,2024-06-10,2024-06-20,81024.06,Delayed
