report_id,batch_id,inspection_date,quality_score,remarks
1,1,2023-11-13,78.92,Minor Issue
2,2,2024-05-23,84.87,Rejected
3,3,2023-08-17,97.44,Rejected
4,4,2023-12-27,83.69,Rejected
5,5,2023-06-22,86.27,OK
6,6,2024-06-09,88.23,OK
7,7,2023-01-07,84.15,Rejected
8,8,2023-04-29,91.14,Rejected
9,9,2024-09-04,91.35,OK
10,10,2023-04-14,82.45,OK
11,11,2024-07-11,93.56,Rejected
12,12,2023-05-11,96.49,Minor Issue
13,13,2024-01-30,86.01,OK
14,14,2023-10-05,84.73,Minor Issue
15,15,2023-07-31,81.92,Minor Issue
16,16,2023-03-15,79.26,OK
17,17,2023-04-26,88.86,Minor Issue
18,18,2023-07-26,94.61,OK
19,19,2024-04-04,84.64,Minor Issue
20,20,2024-06-16,75.49,Minor Issue
21,21,2024-04-19,82.44,OK
22,22,2024-06-18,70.4,OK
23,23,2024-03-05,90.45,Rejected
24,24,2024-02-15,81.21,Rejected
25,25,2023-02-05,73.96,Minor Issue
26,26,2024-12-17,75.69,Minor Issue
27,27,2024-11-23,84.72,OK
28,28,2023-10-01,89.36,Minor Issue
29,29,2024-10-19,97.96,Rejected
30,30,2023-03-14,94.46,Minor Issue
31,31,2024-07-07,93.17,OK
32,32,2024-04-04,74.79,Rejected
33,33,2024-07-22,89.79,Rejected
34,34,2023-11-27,72.34,Rejected
35,35,2024-10-12,96.02,Rejected
36,36,2023-03-31,85.47,OK
37,37,2023-09-25,87.67,Rejected
38,38,2024-10-24,89.17,Rejected
39,39,2024-11-19,88.63,Rejected
40,40,2024-03-11,97.03,OK
41,41,2024-12-18,89.68,OK
42,42,2024-07-23,70.74,OK
43,43,2024-07-31,82.19,Rejected
44,44,2023-10-23,71.65,Minor Issue
45,45,2024-07-19,82.03,Minor Issue
46,46,2024-06-20,76.44,Rejected
47,47,2024-06-13,78.77,Rejected
48,48,2024-06-02,80.08,Minor Issue
49,49,2024-05-06,86.94,OK
50,50,2024-11-08,79.88,OK
51,51,2023-07-23,82.17,Rejected
52,52,2024-11-22,95.75,OK
53,53,2024-05-13,95.61,OK
54,54,2024-05-25,74.7,Rejected
55,55,2024-10-31,81.83,OK
56,56,2024-02-23,78.45,Minor Issue
57,57,2024-12-13,79.09,Minor Issue
58,58,2024-10-24,83.2,OK
59,59,2023-07-09,75.67,OK
60,60,2024-02-05,85.04,Rejected
61,61,2023-07-23,78.49,Rejected
62,62,2024-06-20,74.42,OK
63,63,2024-03-17,95.38,Rejected
64,64,2024-11-03,81.21,Minor Issue
65,65,2023-10-11,87.67,Rejected
66,66,2024-02-22,76.73,Minor Issue
67,67,2024-05-24,75.29,Rejected
68,68,2024-03-12,94.07,OK
69,69,2024-09-15,75.26,Minor Issue
70,70,2023-08-17,90.27,Minor Issue
71,71,2024-01-25,78.25,Minor Issue
72,72,2024-09-12,91.35,OK
73,73,2023-05-13,92.81,Rejected
74,74,2024-11-07,89.47,Rejected
75,75,2023-06-13,94.58,Minor Issue
76,76,2023-05-03,90.33,Rejected
77,77,2024-06-24,90.72,OK
78,78,2023-07-05,75.75,Rejected
79,79,2023-08-30,92.24,Rejected
80,80,2023-06-18,89.34,OK
81,81,2023-08-11,78.99,Rejected
82,82,2024-08-19,77.14,Rejected
83,83,2024-05-08,78.11,Minor Issue
84,84,2024-01-23,78.47,OK
85,85,2024-03-18,96.39,OK
86,86,2024-07-24,77.73,OK
87,87,2023-03-06,97.14,Rejected
88,88,2023-10-04,72.48,OK
89,89,2024-09-21,74.34,OK
90,90,2024-04-21,74.35,Minor Issue
91,91,2023-10-08,81.77,Minor Issue
92,92,2024-01-18,92.66,OK
93,93,2023-07-31,74.43,OK
94,94,2023-08-18,77.4,Rejected
95,95,2023-07-19,86.08,Rejected
96,96,2024-05-19,72.48,OK
97,97,2024-10-04,84.05,Minor Issue
98,98,2023-11-13,88.3,Rejected
99,99,2023-04-06,85.85,Minor Issue
100,100,2023-04-10,81.39,Minor Issue
101,101,2024-09-10,81.1,Rejected
102,102,2023-09-01,86.91,Rejected
103,103,2024-04-09,83.34,Minor Issue
104,104,2024-10-03,80.72,Rejected
105,105,2023-12-22,77.41,Minor Issue
106,106,2024-09-27,96.93,OK
107,107,2023-09-30,91.55,OK
108,108,2023-08-31,71.45,OK
109,109,2023-02-26,92.61,Minor Issue
110,110,2023-02-06,92.45,Rejected
111,111,2023-01-31,72.95,Minor Issue
112,112,2024-04-11,70.44,Minor Issue
113,113,2024-02-22,96.79,Rejected
114,114,2024-07-31,77.71,OK
115,115,2024-02-08,77.29,Rejected
116,116,2023-06-03,74.13,Rejected
117,117,2023-11-03,73.48,Rejected
118,118,2023-08-18,88.72,Minor Issue
119,119,2024-08-28,96.67,Rejected
120,120,2024-08-09,97.0,OK
121,121,2023-04-10,88.75,Minor Issue
122,122,2023-05-10,70.93,Minor Issue
123,123,2023-11-30,86.4,Rejected
124,124,2024-05-11,89.38,Minor Issue
125,125,2023-01-01,94.12,Rejected
126,126,2024-05-18,87.12,OK
127,127,2023-07-01,82.26,OK
128,128,2024-10-30,86.37,OK
129,129,2023-12-08,73.95,Minor Issue
130,130,2023-03-23,72.16,OK
131,131,2024-07-31,90.8,OK
132,132,2023-03-15,75.02,Minor Issue
133,133,2024-05-21,81.3,Rejected
134,134,2023-01-31,87.3,Minor Issue
135,135,2023-11-24,97.07,OK
136,136,2024-06-23,78.95,OK
137,137,2024-07-20,71.6,OK
138,138,2024-01-25,91.68,OK
139,139,2024-10-11,75.33,OK
140,140,2023-04-03,71.27,Rejected
141,141,2024-03-22,79.66,Minor Issue
142,142,2023-01-19,80.82,OK
143,143,2023-05-05,85.51,Rejected
144,144,2023-11-13,93.07,Minor Issue
