batch_id,product_id,production_date,quantity_produced,defect_quantity
1,4,2023-04-04,612,16
2,26,2023-01-11,983,43
3,29,2024-08-21,257,28
4,24,2024-02-16,241,25
5,27,2024-08-24,468,28
6,11,2023-06-05,890,50
7,22,2023-02-13,429,17
8,23,2023-11-07,592,48
9,39,2024-12-03,650,47
10,9,2023-10-20,700,13
11,9,2023-08-09,654,17
12,43,2024-04-17,408,20
13,15,2024-08-31,561,22
14,33,2024-03-02,421,27
15,37,2024-11-03,470,40
16,36,2023-10-11,996,27
17,19,2023-11-17,722,45
18,20,2023-11-16,645,25
19,44,2024-10-15,823,24
20,6,2023-05-05,735,46
21,49,2023-03-18,961,22
22,9,2024-01-27,359,5
23,19,2024-05-24,651,34
24,39,2023-08-18,634,48
25,11,2024-11-13,289,49
26,42,2023-10-05,605,0
27,50,2023-03-29,596,26
28,35,2023-04-01,900,47
29,46,2023-03-21,739,1
30,19,2024-07-02,361,44
31,33,2024-09-12,564,24
32,17,2024-12-09,354,10
33,50,2024-10-24,766,34
34,17,2024-01-19,931,43
35,12,2024-02-05,520,10
36,48,2024-10-25,864,46
37,40,2024-12-13,799,4
38,6,2024-04-22,872,7
39,50,2024-12-01,528,28
40,40,2024-04-20,790,47
41,9,2023-06-10,588,29
42,47,2023-05-21,443,19
43,14,2023-03-01,475,38
44,44,2024-01-15,610,32
45,33,2023-01-29,586,14
46,49,2024-12-20,309,26
47,12,2023-09-29,871,2
48,49,2023-07-25,743,0
49,7,2024-08-12,931,9
50,26,2023-06-20,548,32
51,11,2023-08-01,592,47
52,38,2024-10-02,211,39
53,33,2024-04-18,691,18
54,38,2023-11-19,752,26
55,38,2024-03-03,491,10
56,35,2023-07-16,556,9
57,35,2023-09-17,833,38
58,38,2024-08-06,420,3
59,30,2023-07-25,786,11
60,47,2023-01-28,932,22
61,3,2023-08-15,417,6
62,13,2023-10-24,463,20
63,9,2024-07-23,764,44
64,42,2024-11-30,710,8
65,10,2024-09-06,415,49
66,49,2023-04-20,627,35
67,10,2023-07-20,684,32
68,29,2023-08-24,852,31
69,30,2024-05-25,375,30
70,13,2024-09-21,445,24
71,22,2024-04-10,855,17
72,28,2023-09-13,339,11
73,37,2023-10-08,951,31
74,35,2023-02-19,265,50
75,21,2024-12-15,329,25
76,32,2023-06-27,418,10
77,16,2023-09-09,961,38
78,14,2023-10-27,716,26
79,30,2023-01-28,302,42
80,35,2023-12-06,817,29
81,8,2024-02-06,341,16
82,12,2023-01-06,811,40
83,36,2023-06-29,700,47
84,27,2024-03-07,649,6
85,46,2023-06-23,850,39
86,34,2024-12-16,498,16
87,6,2023-08-03,372,39
88,42,2023-11-01,503,37
89,45,2023-02-25,309,25
90,6,2023-06-13,793,45
91,41,2023-09-18,880,50
92,7,2024-12-12,883,25
93,45,2024-01-16,798,47
94,31,2024-06-01,319,47
95,1,2023-09-01,493,7
96,10,2024-03-01,725,23
97,6,2023-08-17,624,25
98,33,2024-11-16,220,1
99,11,2023-05-23,691,38
100,5,2024-04-30,790,0
101,50,2024-04-17,592,32
102,45,2023-12-05,653,39
103,11,2023-07-02,452,42
104,16,2024-05-09,727,26
105,23,2023-05-29,982,3
106,27,2024-12-08,826,50
107,47,2023-05-12,788,30
108,21,2023-10-20,395,17
109,36,2024-02-09,291,48
110,45,2024-12-14,655,34
111,18,2023-08-04,250,12
112,46,2024-08-14,413,46
113,14,2024-05-28,761,33
114,10,2023-08-22,317,48
115,17,2024-08-27,676,29
116,49,2023-08-08,732,47
117,31,2024-09-08,391,4
118,12,2023-11-22,750,40
119,14,2024-05-31,960,45
120,48,2023-02-17,724,10
121,36,2023-12-10,390,17
