order_id,customer_id,order_date,delivery_date,total_amount
1,61,2024-06-05,2024-06-12,84594.11
2,90,2023-11-27,2023-12-02,48306.65
3,59,2023-07-23,2023-07-27,23998.62
4,3,2023-03-16,2023-03-26,2334.15
5,90,2024-07-14,2024-07-22,43757.25
6,90,2023-09-25,2023-09-28,24589.46
7,62,2024-05-11,2024-05-14,32928.46
8,81,2023-12-11,2023-12-20,87838.11
9,85,2023-02-15,2023-02-20,179172.77
10,48,2023-02-04,2023-02-08,69295.85
11,9,2024-03-31,2024-04-09,84467.36
12,22,2024-10-05,2024-10-09,53411.19
13,38,2023-04-23,2023-05-01,28012.68
14,12,2023-11-07,2023-11-13,64867.6
15,74,2024-07-25,2024-07-28,3400.67
16,43,2023-10-07,2023-10-16,43088.97
17,53,2023-09-15,2023-09-23,115322.26
18,14,2024-06-22,2024-06-27,90029.01
19,19,2024-09-19,2024-09-23,33425.04
20,13,2024-03-03,2024-03-06,98433.92
21,42,2024-01-17,2024-01-21,76313.15
22,72,2023-01-09,2023-01-13,53514.24
23,63,2023-01-07,2023-01-11,21965.06
24,55,2024-11-25,2024-11-30,141594.71
25,90,2023-10-14,2023-10-23,104945.84
26,93,2023-05-14,2023-05-24,23405.04
27,60,2023-10-12,2023-10-19,36799.96
28,1,2024-07-06,2024-07-09,126127.97
29,47,2023-07-12,2023-07-19,132904.94
30,85,2023-10-20,2023-10-23,35711.2
31,23,2023-01-02,2023-01-09,124501.8
32,9,2023-06-03,2023-06-06,7358.56
33,16,2024-08-14,2024-08-18,158748.68
34,6,2024-01-23,2024-01-26,51389.25
35,75,2024-05-18,2024-05-21,90526.2
36,90,2023-08-21,2023-08-24,55242.38
37,11,2023-02-27,2023-03-03,48357.34
38,16,2024-05-19,2024-05-24,131138.96
39,28,2023-05-07,2023-05-17,12142.08
40,97,2024-07-26,2024-07-31,75050.86
41,92,2024-07-21,2024-07-31,33247.49
42,49,2023-07-10,2023-07-17,20682.34
43,4,2023-10-01,2023-10-06,66542.24
44,13,2023-07-15,2023-07-22,13661.1
45,1,2024-01-28,2024-02-04,61874.66
46,76,2023-04-06,2023-04-14,62047.08
47,59,2023-11-19,2023-11-27,163428.63
48,35,2024-01-21,2024-01-27,146916.24
